t,x,y,vx,vy,r,theta,omega
0,104862385.31736961,4334097.850654461,-688.0734131519274,21670.489253272306,105000000,0.020162082667287723,0.00010081041333643861
200,104587147.32010798,8662507.551927827,-1376.1899863081123,21642.048506366827,104951914.03031935,0.04056947485621546,0.00010203696094463869
400,104174621.17755856,12979546.261393704,-2062.6307127471155,21585.193547329374,104945273.46024296,0.06130393770297175,0.00010367231423378146
600,103625484.42890191,17279564.091285236,-2745.6837432832313,21500.08914945767,104980094.86869162,0.08244490599877025,0.00010570484147899246
800,102940752.65756527,21556971.43208935,-3423.6588566831983,21387.036704020575,105056291.37900037,0.10406868019772385,0.00010811887099476802
1000,102121772.34290038,25806265.591878038,-4094.901573324418,21246.470798943432,105173673.39324963,0.12624768967962266,0.00011089504740949407
1200,101170211.0133199,30022056.40752318,-4757.806647902423,21078.954078225717,105331950.18727092,0.14904984244552036,0.00011401076382948846
1400,100088044.87396565,34199090.50884651,-5410.830696771216,20885.17050661661,105530732.33620706,0.17253797241110855,0.00011744064982794097
1600,98877544.12536296,38332273.94925791,-6052.503743013409,20665.917202057037,105769534.92535192,0.19676939116840292,0.00012115709378647179
1800,97541256.22611925,42416692.955233574,-6681.439496218534,20422.095029878332,106047781.48732795,0.22179554679960536,0.00012513077815601222
2000,96081987.38160904,46447632.590566106,-7296.344222551057,20154.698176662652,106364808.594892,0.24766178831128136,0.00012933120755837996
2200,94502782.5611682,50420593.17804348,-7896.0241022042155,19864.802937386863,106719871.02910075,0.27440723072826445,0.0001337272120849154
2400,92806904.3583867,54331304.36940495,-8479.391013907525,19553.55595680737,107112147.43542956,0.30206471300053095,0.00013828741136133243
2600,90997811.01278657,58175736.80245388,-9045.466728000672,19222.162165244667,107540746.37581635,0.33066083872232144,0.0001429806286089525
2800,89079133.9069682,61950111.33057824,-9593.385529091809,18871.87264062176,108004712.68248996,0.360216088266768,0.0001477762477222328
3000,87054654.8419438,65650905.853326105,-10122.395325122025,18503.97261373932,108503034.01972966,0.3907449902709922,0.0001526445100211209
3200,84928283.3758031,69274859.8160258,-10631.857330703531,18119.76981349844,109034647.56219582,0.42225634039173615,0.00015755675060371988
3400,82704034.48817043,72818976.4809079,-11121.244438163334,17720.58332441055,109598446.70291062,0.45475345578533605,0.00016248557696799945
3600,80386006.80628672,76280523.10123008,-11590.13840941852,17307.733101610902,110193287.71003932,0.48823445472678806,0.0001674049947072599
3800,77978361.59917471,79657029.15323636,-12038.226035560088,16882.530260031337,110817996.25899068,0.5226925520448744,0.00017229048659043206
4000,75485302.71536812,82946282.79835676,-12465.294419032925,16446.268225602016,111471373.77466553,0.5581163624933368,0.00017711905224231236
4200,72911057.60816813,86146325.76003706,-12871.225536,16000.21480840152,112152203.52759787,0.5944902056940494,0.000181869216003563
4400,70259859.56127408,89255446.80632421,-13255.990234470195,15545.605231435757,112859256.43692695,0.6317944077862542,0.00018652101046102358
4600,67535931.19772112,92272174.0312987,-13619.641817764796,15083.636124872426,113591296.5423255,0.6700055963244511,0.0001910559426909847
4800,64743469.32698716,95195266.12621082,-13962.309353669818,14615.46047456065,114347086.11593737,0.7090969862339355,0.0001954569495474216
5000,61886631.15939675,98023702.82537147,-14284.190837952056,14142.183495803274,115125390.39384244,0.7490386557225656,0.0001997083474431507
5200,58969521.893885046,100756674.70311733,-14585.546327558537,13664.859388729225,115924981.91440858,0.7897978119411606,0.00020379578109297515
5400,55996183.6649923,103393572.4871564,-14866.691144463713,13184.48892019538,116744644.45799297,0.8313390468770944,0.00020770617467966862
5600,52970585.81771497,105933976.0409114,-15127.989236386691,12702.017768775031,117583176.58874682,0.8736245844607421,0.0002114276879182384
5800,49896616.464517295,108377643.15367517,-15369.846765988352,12218.335563818788,118439394.80471985,0.9166145201748946,0.0002149496785707629
6000,46778075.26729875,110724498.2629751,-15592.705986092738,11734.275546499672,119312136.30705173,0.9602670546011837,0.00021826267213144497
6200,43618667.378243044,112974621.21894293,-15797.039445278546,11250.614779839121,120200261.40279664,1.0045387223368023,0.00022135833867809341
6400,40421998.46702637,115128236.18606362,-15983.344556083392,10768.074835603475,121102655.55889943,1.0493846175934087,0.00022422947628303186
6600,37191570.75758594,117185700.76372665,-16152.138547202134,10287.322888315191,122018231.12708335,1.0947586175730628,0.00022686999989827053
6800,33930779.99528267,119147495.39374885,-16303.953811516361,9808.97315011102,122945928.7609891,1.1406136044283923,0.00022927493427664776
7000,30642913.264566295,121014213.11064881,-16439.33365358188,9333.588584499777,123884718.54789709,1.1869016862801376,0.00023144040925872643
7200,27331147.57790736,122786549.67904031,-16558.828433294664,8861.68284195754,124833600.87784563,1.2335744174076637,0.00023336365563763077
7400,23998549.15854983,124465294.15214364,-16662.992096787664,8393.722365516633,125791607.07300302,1.280583017367934,0.00023504299980135174
7600,20648073.342331648,126051319.87611614,-16752.379081090912,7930.128619862511,126757799.7998347,1.3278785884545106,0.00023647785543288294
7800,17282565.02721,127545575.95667435,-16827.541575608237,7471.28040279102,127731273.28599389,1.3754123305964507,0.00023766871070970052
8000,13904759.603027806,128949079.19728893,-16889.02712091098,7017.516203072882,128711153.36302261,1.4231357525306572,0.00023861710967103156
8200,10517284.298307111,130262906.51203454,-16937.37652360347,6569.136573727988,129696597.35492942,1.4710008778703663,0.00023932562669854563
8400,7122659.885314861,131488187.81090683,-16973.122064961248,6126.406494361443,130686793.83156689,1.5189604445438654,0.00023979783336749516
8600,3723302.6892008623,132626099.3510091,-16996.785980569995,5689.557700511348,131680962.24450283,1.566968095994832,0.00024003825725483273
8800,321526.85156122735,133677857.54338494,-17008.879188198174,5258.790961879231,132678352.46180572,1.6149785625194066,0.00024005233262287357
9000,-3080453.1967439386,134644713.2023544,-17009.90024152583,4834.278294847322,133678244.21687245,1.6629478311628372,0.00023984634321715277
9200,-6480520.094352422,135527946.22192132,-17000.334488042416,4416.1650978346415,134679946.48514527,1.7108333027053084,0.00023942735771235644
9400,-9876650.77642135,136328860.66208476,-16980.653410344632,4004.572200817137,135682796.801309,1.7585939344252626,0.00023880315859977082
9600,-13266913.602650944,137048780.22663558,-16951.314131147978,3599.5978227541436,136686160.52834868,1.806190367530304,0.0002379821655252066
9800,-16649465.415354857,137689044.11318496,-16912.759063519567,3201.3194327468877,137689430.08869222,1.8535850383807218,0.00023697335425208895
10000,-20022548.55317485,138251003.21569106,-16865.41568909997,2809.795512530507,138692024.1665673,1.9007422728881942,0.0002357861725373625
10200,-23384487.84284925,138736016.65957034,-16809.696448372,2425.0672193963624,139693386.889678,1.9476283637417342,0.0002344304542677001
10400,-26733687.588514227,139145448.64954716,-16745.99872832488,2047.1599498841097,140692986.9973516,1.9942116303841981,0.00023291633321231934
10600,-30068628.575340275,139480665.61066726,-16674.704934130234,1676.0848056004374,141690317.00142407,2.040462461926336,0.0002312541577106886
10800,-33387865.10187505,139743033.60333526,-16596.182632673877,1311.8399633399542,142684892.34532344,2.0863533434332173,0.0002294544075344064
11000,-36690022.05326741,139933915.99380094,-16510.78475696179,954.4119523283323,143676250.5660692,2.1318588662431406,0.00022752761404961732
11200,-39973792.02557348,140054671.36218128,-16418.849861530336,603.7768419016734,144663950.46323526,2.176955723176589,0.00022548428466724027
11400,-43237932.50958032,140106651.63084137,-16320.702420034231,259.9013433004441,145647571.2783169,2.221622689658792,0.00022333483241101428
11600,-46481263.141011775,140091200.39674348,-16216.653157157281,-77.25617048947908,146626711.8873944,2.265840591911932,0.00022108951126570105
11800,-49702663.02258967,140009651.45219252,-16106.999407889452,-407.7447227547397,147600990.0095,2.3095922634713233,0.00021875835779695593
12000,-52901068.12219761,139863327.47924182,-15992.025498039708,-731.6198647535181,148570041.4326574,2.3528624913446827,0.00021635113936679706
12200,-56075468.7503194,139653538.9038623,-15872.003140608917,-1048.9428768975667,149533519.25917825,2.3956379531666148,0.00021387730910966035
12400,-59224907.11898612,139381582.8968121,-15747.1918433336,-1359.780035250894,150491093.17145857,2.4379071467042146,0.00021134596768799963
12600,-62348474.98365262,139048742.5089617,-15617.839323332479,-1664.2019392519574,151442448.71921954,2.4796603130474977,0.0002087658317164158
12800,-65445311.36872215,138656285.92962727,-15484.181925347622,-1962.2828966721172,152387286.6288743,2.5208893547737787,0.00020614520863140604
13000,-68514600.37683699,138205465.85723647,-15346.445040574175,-2254.100361953987,153325322.1354762,2.561587750311987,0.00020349197769104174
13200,-71555569.08154128,137697518.9723919,-15204.843523521475,-2539.734424222796,154256284.33750576,2.6017504656550567,0.00020081357671534935
13400,-74567485.50249086,137133665.5041066,-15059.582104747888,-2819.2673414264746,155179915.5745854,2.641373864479715,0.00019811699412329098
13600,-77549656.66202405,136515108.88066033,-14910.855797665958,-3092.7831172313727,156095970.82806584,2.6804556176366847,0.00019540876578484794
13800,-80501426.72160953,135843035.457165,-14758.850297927407,-3360.3671174765877,157004217.14430588,2.7189946128737263,0.00019269497618520806
14000,-83422175.19644412,135118614.31253147,-14603.742374172973,-3622.10572316772,157904433.08036432,2.756990865551842,0.00018998126339057723
14200,-86311315.24627882,134342997.10909787,-14445.700249173518,-3878.086017168065,158796408.17173684,2.7944454310137727,0.00018727282730965383
14400,-89168292.04039876,133517318.00871392,-14284.883970599705,-4128.395501919767,159679942.42170057,2.8313603191656265,0.00018457444075926764
14600,-91992581.19456692,132642693.63957435,-14121.445770840806,-4373.121845697821,160554845.81177202,2.8677384117386415,0.0001818904628650763
14800,-94783687.27765733,131720223.1085614,-13955.530415452045,-4612.3526550647875,161420937.83273894,2.9035833826099697,0.00017922485435664182
15000,-97541142.38564664,130750988.05429083,-13787.275539946519,-4846.1752713528485,162278047.03569096,2.938899621479758,0.00017658119434894165
15200,-100264504.78059965,129736052.73646048,-13616.811974765074,-5074.6765891517525,163126010.60244897,2.9736921611273317,0.00017396269823786835
15400,-102953357.59227113,128676464.15747531,-13444.264058357396,-5297.942894925842,163964673.93477336,3.0079666084021732,0.00017137223637420662
15600,-105607307.57994957,127573252.2126712,-13269.74993839217,-5516.059724020541,164793890.2617208,3.04172907904574,0.00016881235321783216
15800,-108225983.95218664,126427429.86578155,-13093.381861185359,-5729.111734448275,165613520.26451188,3.0749861363878477,0.0001662852867105399
16000,-110809037.24208562,125239993.34658839,-12915.26644949486,-5937.182595965818,166423431.7182712,3.1077447339161006,0.00016379298764126468
16200,-113356138.23586136,124011922.36797446,-12735.504968878724,-6140.3548930696425,167223499.15000412,3.140012161678293,0.00016133713881096227
16400,-115866976.95243216,122744180.35984583,-12554.193582853952,-6338.710040643121,168013603.51218063,3.1717959964454305,0.00015891917383568685
16600,-118341261.67185712,121437714.7176279,-12371.423597124798,-6532.328211089698,168793631.87130553,3.203104055536467,0.00015654029545518304
16800,-120778718.01049204,120093457.06325199,-12187.281693174606,-6721.288271879571,169563477.1108653,3.2339443541845605,0.0001542014932404657
17000,-123179088.04079892,118712323.51674712,-12001.850151534352,-6905.667732524383,170323037.648056,3.2643250663080297,0.00015190356061734665
17200,-125542129.45380995,117295214.97673208,-11815.207065055174,-7085.54270007522,171072217.16371047,3.2942544885367715,0.00014964711114370973
17400,-127867614.7623143,115843017.40826926,-11627.426542521811,-7260.987842314087,171810924.3448593,3.3237410073360962,0.0001474325939966231
17600,-130155330.54290429,114356602.13669357,-11438.578902949908,-7432.076357878436,172539072.63937694,3.3527930690643437,0.00014526030864123673
17800,-132405076.71508688,112836826.14616907,-11248.730860912921,-7598.879952622467,173256580.02218184,3.381419152797744,0.000143130418667001
18000,-134616665.85573578,111284532.38185343,-11057.945703244495,-7761.468821578189,173963368.772477,3.409627745755391,0.00014104296478823595
18200,-136789922.5472278,109700550.05466664,-10866.283457460126,-7919.911635933931,174659365.26153588,3.4374273211585247,0.000138997877015667
18400,-138924682.75767538,108085694.94776696,-10673.801052237945,-8074.275534498376,175344499.75055677,3.4648263183612062,0.0001369949860134079
18600,-141020793.251734,106440769.72393404,-10480.55247029301,-8224.626119164619,176018706.1981268,3.4918331250936476,0.00013503403366220672
18800,-143078111.03052855,104766564.23314776,-10286.588893972785,-8371.027453931454,176681922.07685497,3.518456061664598,0.00013311468285475108
19000,-145096502.7993073,103063855.81973208,-10091.958843893754,-8513.542067078359,177334088.19875136,3.544703366975124,0.00013123652655262858
19200,-147075844.46149343,101333409.62850675,-9896.708310930702,-8652.230956126661,177975148.54894745,3.5705831862025867,0.00012939909613731592
19400,-149016020.63786566,99575978.90945625,-9700.880881861087,-8787.153595252517,178605050.12736943,3.596103560020481,0.00012760186908947134
19600,-150916924.20965713,97792305.32048672,-9504.517858957424,-8918.367944847649,179223742.79799336,3.6212724152268736,0.00012584427603196392
19800,-152778455.8844193,95983119.2278964,-9307.658373810857,-9045.930462951601,179831179.145327,3.646097556661396,0.00012412570717261045
20000,-154600523.7835511,94149140.00423545,-9110.339495659053,-9169.896118304785,180427314.33777988,3.6705866602979182,0.00012244551818261273
20200,-156383043.0504474,92291076.32327648,-8912.596334481557,-9290.31840479487,181012105.99759752,3.694747267407176,0.00012080303554628947
20400,-158125935.47827053,90409626.45185839,-8714.462139115627,-9407.249357090443,181585514.07705113,3.7185867796905683,0.00011919756141696212
20600,-159829129.15639764,88505478.53840332,-8515.968390635584,-9520.739567275323,182147500.74058867,3.742112455293139,0.00011762837801285318
20800,-161492558.1346434,86579310.89794035,-8317.144891228872,-9630.83820231482,182698030.2526664,3.765331405610269,0.0001160947515856524
21000,-163116162.10440186,84631792.29350008,-8118.0198487922535,-9737.593022201392,183237068.87099397,3.78825059280888,0.00011459593599305285
21200,-164699886.09589428,82663582.21377166,-7918.619957462101,-9841.050398642108,183764584.7449384,3.8108768279899,0.00011313117590510072
21400,-166243680.190751,80675331.14693889,-7718.970474283479,-9941.255334163825,184280547.81884477,3.8332167699244355,0.00011169970967267742
21600,-167747499.24919373,78667680.85063402,-7519.095292213675,-10038.25148152434,184784929.74004385,3.8552769243014096,0.000110300771884871
